raw_value,affected_rows,current_standardized_value,current_broad_value,review_signal_type,current_recommended_action,proposed_destination_field,proposed_standardized_value,proposed_broad_value,confidence,rationale,reviewer_decision,rule_file_to_update,rule_to_add,test_to_add,notes
sea-animal; barnacle on rock and mussels,1,sea-animal; barnacle on rock and mussels,environmental/geologic material,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Second metatarsal Tissue,1,Second metatarsal Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Seeds_1,1,Seeds_1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Seeds_1_1,1,Seeds_1_1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Seeds_2,1,Seeds_2,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Seeds_4,1,Seeds_4,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
SF1.4_hsp60_Mantle Tissue,1,SF1.4_hsp60_Mantle Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
shASXL3_2_R2,1,shASXL3_2_R2,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Shin Tissue,1,Shin Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
shoot tissue,1,shoot tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
shoulder animal,1,shoulder animal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
shrimp1,1,shrimp1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
shrimp2,1,shrimp2,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
skinless hot dog,1,skinless hot dog,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge17,1,sludge17,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge19,1,sludge19,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge21,1,sludge21,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge22,1,sludge22,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge24,1,sludge24,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge6,1,sludge6,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sludge8,1,sludge8,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Snake faeces,1,Snake faeces,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
snake tissue,1,snake tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
SNU1,1,SNU1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soft rot-infected petioles and tubers,1,soft rot-infected petioles and tubers,,disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soft tissue samples,1,soft tissue samples,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soil15,1,soil15,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Som fak (Thai fermented fish),1,Som fak (Thai fermented fish),,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
source of origin unknown,1,source of origin unknown,,metadata_descriptor,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soy meal animal feed,1,soy meal animal feed,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soybean animal meal,1,soybean animal meal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soybean meal for animal feed,1,soybean meal for animal feed,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soymeal animal feed,1,soymeal animal feed,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Spi1_ChIPSeq,1,Spi1_ChIPSeq,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
spine tissue,1,spine tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
splenic tissue,1,splenic tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
StagB_mock_AGAGTCAC_r2,1,StagB_mock_AGAGTCAC_r2,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
stalk tissue,1,stalk tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Steinernema-infected Galleria mellonella cadaver,1,Steinernema-infected Galleria mellonella cadaver,,disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Sternum Tissue,1,Sternum Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_NA_BU6,1,Stethoscope_NA_BU6,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P101_BU13,1,Stethoscope_P101_BU13,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P115_BU5,1,Stethoscope_P115_BU5,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P130_BU23,1,Stethoscope_P130_BU23,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P132_BU20,1,Stethoscope_P132_BU20,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P13_BU21,1,Stethoscope_P13_BU21,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P2_BU1,1,Stethoscope_P2_BU1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P43_BU17,1,Stethoscope_P43_BU17,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P45_BU22,1,Stethoscope_P45_BU22,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P46_BU24,1,Stethoscope_P46_BU24,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P47_BU17,1,Stethoscope_P47_BU17,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P50_BU21,1,Stethoscope_P50_BU21,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P68_BU23,1,Stethoscope_P68_BU23,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P95_BU8,1,Stethoscope_P95_BU8,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stethoscope_P97_BU24,1,Stethoscope_P97_BU24,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Stored plasma,1,Stored plasma,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
"strain EV G. Gerard, G Robic (Vaccine strain EV line NIIEG is mutant strain, was isolated from other stain EV Gerard and Robic)",1,"strain EV G. Gerard, G Robic (Vaccine strain EV line NIIEG is mutant strain, was isolated from other stain EV Gerard and Robic)",,metadata_descriptor,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Sturgeon (fish),1,Sturgeon (fish),,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Subcutaneous Tissue,1,Subcutaneous Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Subcutaneous tissue,1,Subcutaneous tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
subcutaneous tissue,1,subcutaneous tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Submaxillary tissue,1,Submaxillary tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
SUNE-1,1,SUNE-1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Superficial Tissue,1,Superficial Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Surfaces of lower molars of Sprague Dawley rat,1,Surfaces of lower molars of Sprague Dawley rat,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
surgery site tissue,1,surgery site tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
surgical site (wound swab),1,surgical site (wound swab),,body_site|sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Surgical site tissue,1,Surgical site tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
surgically removed tissue from elbow,1,surgically removed tissue from elbow,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Swim Bladder,1,Swim Bladder,,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Swine dysentery,1,Swine dysentery,,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Synovial tissue (knee),1,Synovial tissue (knee),tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
TD1a_unenriched,1,TD1a_unenriched,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
TD1b_unenriched,1,TD1b_unenriched,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
TD1c_unenriched,1,TD1c_unenriched,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
tendon tissue,1,tendon tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
TFB.stat.chip-seq.r1,1,TFB.stat.chip-seq.r1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
